datetime,date,unknown_1,unknown_2,4-8_GHz_start,unknown_24,unknown_45,unknown_46,unknown_47,unknown_25,unknown_26,unknown_27,unknown_5,unknown_9,unknown_13,unknown_17,unknown_28,unknown_29,unknown_30,unknown_31,unknown_32,unknown_33,unknown_34,unknown_35,unknown_36,unknown_37,unknown_38,unknown_39,unknown_40,unknown_41,unknown_42,unknown_43,unknown_3,unknown_4,unknown_6,unknown_7,unknown_10,unknown_11,unknown_12,unknown_14,unknown_15,unknown_16,unknown_18,unknown_19,unknown_20,unknown_21,unknown_22,unknown_8,duty_officer,4-8_GHz_start_min
2024-07-05 00:00:00,2024-07-05,18,дождь,00 00,10 00,,,ремонт,4:15-4:23 - замена IP-розетки,00 00,10 00,18,20,25,25,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,пер/ген:0:23;1:50;2:47;3:28;4:43;5:10;6:24;724;7:54;9:05;9:42,00 10,10 00,,18,дождь,пасмурно,19,пасмурно,24,пасмурно,пасмурно,25,пасмурно,облачно,26,тучи,27,тучи,пасмурно,,0.0
2024-07-06 00:00:00,2024-07-06,18,облачно,00 00,10 00,,,ремонт,,00 00,10 00,21,23,28,26,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,пер/ген:0:45;0:50;1:30;2:04;2:30;3:04;3:48;4:10;5:12;5:25;5:35;6:52;7:16;8:33;9:31,00 10,10 00,,20,облачно,облачно,22,облачно,26,солнце,солнце,27,пасмурно,облачно,26,облачно,26,облачно,облачно,,0.0
2024-07-07 00:00:00,2024-07-07,18,облачно,00 00,10 00,,,ремонт,,00 00,10 00,24,27,30,30,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,пер/ген:0:28;0:53;4:25;5:30;6:17;7:45;9:08,00 10,10 00,,20,облачно,солнце,26,облачно,28,облачно,облачно,29,облачно,солнце,30,облачно,30,облачно,солнце,,0.0
2024-07-08 00:00:00,2024-07-08,19,солнце,00 00,10 00,,,ремонт,,00 00,10 00,28,31,,,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,пер/ген:0:20;2:18;03:48:4:40,00 10,10 00,,26,солнце,солнце,30,солнце,32,солнце,,,,,,,,,солнце,,0.0
2024-07-09 00:00:00,2024-07-09,20,пасмурно,00 00,10 00,,,ремонт,назад:30мин,00 00,10 00,29,30,30,28,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,с 2:45 до 3:45 региср писала на машине 12_12; пер/ген:2:31;3:37;6:46;6:49;7:08;7:17;,00 10,10 00,с 2645до 3:45 нет записи рег.(писала рег.:6_12);,22,пасмурно,"солнце,обл",29,"солн,обл",31,сол.обл,"солн,обл",28,пасм,пасм,,,,,"обл,солн",,0.0
2024-07-10 00:00:00,2024-07-10,24,солнце,00 00,10 00,,,ремонт,,00 00,10 00,27,29,30,30,,00 00,10 00,,00 00,10 00,,00 00,10 00,,00 05,10 00,Тестированиерешетки с 0:05до 7:00:7:13обычный зупуск,00 10,10 00,Тестирование решетки с 0:05до 7:00:7:15обычный зупуск,27,солнце,солнце,28,солнце,30,солнце,солнце,30,солнце,солнце,,солнце,,,солнце,,0.0
2024-07-11 00:00:00,2024-07-11,27,туман,00 00,9 44,,,ремонт,,00 00,09 40,27,27,28,29,,00 00,09 40,,00 01,09 40,,00 00,09 40,,00 05,09 40,пер/ген:0:51;4:02;,00 10,09 40,,27,пасмурно,пасмурно,27,"сол,обл",29,"сол,обл","сол,обл",30,"сол,обл",пасм,,гроза,,,"сол,обл",,0.0
2024-07-12 00:00:00,2024-07-12,17,дождь,02 40,10 00,,,ремонт,,00 00,10 00,18,18,17,17,,00 00,10 00,,00 00,10 00,,00 00,10 00,,00 05,10 00,пер/ген:2:30;3:15;4:34;4:16;4:57;6:52;6:57;7:58;8:59 перезапускается сама.,00 10,10 00,,18,дождь,дождь,18,дождь,17,дождь,дождь,17,дождь,дождь,17,дождь,,,дождь,,160.0
2024-07-13 00:00:00,2024-07-13,17,пасм,00 00,10 00,,,ремонт,вперед:30сек,00 00,10 00,20,23,25,25,,00 00,10 00,,00 00,10 00,,00 00,10 00,,00 05,10 00,автом.пер/ген:0:12;0;39;0:45;0:47;2:58;3:50;4:16;5:10;5:59;6:20;7:42;8:30;,00 10,10 00,,20,сол.обл,сол.обл,21,солнце,23,солнце,солнце,24,солнце,солнце,25,солнце,,,пасмурно,,0.0
2024-07-14 00:00:00,2024-07-14,17,пасмурно,00 00,10 00,,,ремонт,,00 00,10 00,23,26,27,29,,00 00,10 00,,00 05,10 00,,00 00,10 00,,00 05,10 00,автом.пер/ген:2:46;5:38;6:28;7:37;,00 10,10 00,,20,солнце,солнце,24,солнце,27,солнце,солнце,28,солнце,солнце,28,солнце,,,солнце,,0.0
2024-07-15 00:00:00,2024-07-15,19,солнце,00 00,10 00,,,ремонт,,00 00,10 00,26,27,28,31,,00 00,10 00,,00 02,10 00,,00 00,10 00,,00 05,10 00,автом.пер/ген:2:02;3:32;4:20;5:28;6:10;6:36;7:54;8:10;,00 10,10 00,,25,солнце,солнце,27,солнце,27,солнце,солнце,32,"сол,обл","сол,обл",29,облака,24,тучи,солнце,,0.0
2024-07-16 00:00:00,2024-07-16,20,туман,00 07,10 00,,,ремонт,,00 00,10 00,23,28,28,29,,00 00,10 00,,00 01,10 00,,00 00,10 00,,00 05,10 00,Автом.пер/ген:1:13;2:12;6:36;8:16;,00 10,10 00,пер/ген:0:16;,20,солнце,облачно,26,облачно,28,облачно,"солнце,обл",27,солнце,солнце,29,солнце,28,тучи,облачно,,7.0
2024-07-17 00:00:00,2024-07-17,19,солнце,00 00,10 00,,,ремонт,,00 00,10 00,26,28,29,29,,00 00,10 00,,00 01,10 00,,00 00,10 00,пер/ген:2:22;2:28 перезапускали,00 05,10 00,Автом.пер/ген:0:41; 5:26;6:26;7:07;7:31;7:44;8:43;9:42,00 10,10 00,,24,солнце,солнце,26,солнце,28,солнце,солнце,29,солнце,солнце,29,солнце,28,солнце,солнце,,0.0
2024-07-18 00:00:00,2024-07-18,23,солнце,00 00,10 00,,,ремонт,,00 00,10 00,25,24,27,27,,00 00,10 00,,00 00,10 00,,00 00,10 00,пер/ген:0:15,00 05,10 00,Автом.пер/ген:1:35;2:46;3:13;3:15;3:17;3:27;3:58; 05:19;05:45; 05:50;06:40; 07:40; 08:28; 08:40; Ручная перез/ген:05:00; 08:00;,00 10,10 00,,24,солнце,пасмурно,25,пасмурно,26,пасмурно,облачно,27,солнце,солнце,27,солнце,27,солнце,пасмурно,,0.0
2024-07-19 00:00:00,2024-07-19,22,пасмурно,00 00,10 00,,,ремонт,,00 00,10 00,24,27,29,30,,00 00,10 00,,00 00,10 00,пер/ген:0:14,00 00,10 00,,00 05,10 00,Автом.пер/ген:0:28; 01:40; 06:20; 06:40;,00 10,10 00,,23,пасмурно,пасмурно,25,пасмурно,29,пасмурно,пасмурно,30,облачно,солнце,30,солнце,30,солнце,пасмурно,,0.0
2024-07-20 00:00:00,2024-07-20,21,дождь,00 00,10 00,,,ремонт,,00 00,10 00,22,25,24,24,,00 12,10 00,,00 12,10 00,,00 00,10 00,,00 05,10 00,Автом.пер/ген:0:20; 0:58; 1:37; 1:58; 2:12; 3:10;4:58;4:59;6:28;6:50;,00 10,10 00,,21,дождь,дождь,23,пасмурно,24,пасмурно,дождь,24,дождь,дождь,24,дождь,24,дождь,пасмурно,,0.0
